Factor,Mean,SD,Lower_CI,Upper_CI
IgG1,0.431517683,0.324373491,-0.077013548,1.224338645
IgG2,0.230625905,0.331192397,-0.457748974,0.954323058
IgG3,1.182496548,0.510286188,0.321433762,2.197395166
IgG4,-0.20464168,0.506058515,-1.622604718,0.370599804
ADCD,0.327774038,0.251998874,-0.1580002,0.834418531
Total_IgG,0.20830965,0.224255825,-0.151686724,0.763669503
CoV-229E_S,-0.019275617,0.34979301,-0.776301194,0.621986253
CoV-1_S,-0.327658412,0.323751116,-1.034996573,0.299303841
CoV-2_RBD,0.01428152,0.217846984,-0.538335575,0.329494779
CoV-2_N,-0.060367869,0.449968307,-0.564627457,1.207517337
CoV-HKU1_S,0.518592938,0.309977242,0.063164202,1.201791905
CoV-NL63_S,-0.025773709,0.511733939,-1.121370621,0.900441157
CoV-OC43_S,0.257347145,0.330802217,-0.494690692,0.918924259
